ID atribútu;Názov skupiny;Názov skupiny EN;Názvy atribútov;Názvy atribútov EN;Popisy atribútov;Popisy atribútov EN;Ceny atribútov;Miniatúra;Prémiový prvok;Target pano
limec;Limec;Frame;biely limček|čierny limec|sivý limec|biely limec s terasou|čierny limec s terasou|sivý limec s terasou;white|black|gray|white|black|gray;Biely limec bez terasy - popis - Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum|Čierny limec bez terasy - popis|Sivý limec bez terasy - popis|Biely limec s terasou - popis|Čierny limec s terasou - popis|Sivý limec s terasou - popis;White frame without terrace - description|Black frame without terrace - description|Gray frame without terrace - description|White frame with terrace - description|Black frame with terrace - description|Gray frame with terrace - description;100|101|102|1001|1002|1003;white|black|grey|white|black|grey;standard|standard|standard|premium|premium|premium;
vypln;Výplň;Filling;zrkadlo|heraklit|rastre;mirror|heraclite|rasters;Zrkadlo - popis|Heraklit - popis|Rastre - popis;Mirror - description|Heraclit - description|Rasters - description;50|51|52;mirror|heraklit|rasters;standard|premium|premium;
interierPodlaha;Podlaha interiér;Floor Interior;biela podlaha|čierna podlaha|sivá podlaha;white|black|gray;Biela podlaha popis|Čierna podlaha popis|Sivá podlaha popis;White floor Interior - description|Black floor Interior - description|Gray floor Interior - description;2000|2001|2002;white|black|grey;standard|standard|standard;
interierObklad;Obklad interiér;Tiling Interior;preglejka|gladstone|modrin;plywood|gladstone|modrin;Obklad - preglajka|Obklad gladstone|Obklad modrin;Tilling Interior - plywood - description|Tilling Interior - gladstone - description|Tilling Interior - modrin - description;3000|3001|3002;plywood|gladstone|modrin;standard|standard|standard;node2|node8|node4
interierKuchyna;Kuchyňa;The kitchen;bez kuchyne|biela kuchyňa|čierna kuchyňa|sivá kuchyňa;no|white|black|grey;Žiadna kuchyňa|Biela kuchyňa - popis|Čierna kuchyňa - popis|Sivá kuchyňa - popis;No kitchen - description|White kitchen - description|Black kitchen - description|Gray kitchen - description;0|4000|4001|4002;none|white|black|grey;standard|premium|premium|premium;
interierSvetla;Svetlo;The light;Bez svetiel|Luster|Prisadené svetlá;no|big|small;Bez svetiel - popis|Luster - popis|Prisadené svetlá - popis;Without lights - description|Chandelier - description|Additional lights - description;0|5000|5001;none|white|black;standard|premium|premium;
kupelnaPodlaha;Podlaha kúpeľňa;Floor Bathroom;biela podlaha|čierna podlaha|sivá podlaha;white|black|gray;Biela podlaha kúpeľňa|Čierna podlaha kúpeľňa|Sivá podlaha kúpeľňa;White floor bathroom - description|Black floor bathroom - description|Gray floor bathroom - description;2100|2101|2102;white|black|grey;standard|standard|standard;
kupelnaObklad;Obklad kúpeľňa;Tiling Bathroom;preglejka|gladstone|modrin;plywood|gladstone|modrin;Obklad kúpeľňa - preglajka|Obklad kúpeľňa - gladstone|Obklad kúpeľňa - modrin;Tilling Bathroom - plywood - description|Tilling Bathroom - gladstone - description|Tilling Bathroom - modrin - description;3000|3001|3002;plywood|gladstone|modrin;standard|standard|standard;node7|node5|node6
kupelnaSkrinka;Skrinka kúpeľňa;Cabinet;biela skrinka|čierna skrinka|sivá skrinka;white|black|gray;Biela skrinka kúpeľňa|Čierna skrinka kúpeľňa|Sivá skrinka kúpeľňa;White bathroom cabinet - description| Black bathroom cabinet - description| Gray bathroom cabinet - description;4000|4001|4002;white|black|grey;standard|standard|standard;
limcek;Limček;Frame;Bez limca|Limec biely;Bez limca EN|Limec biely EN;Bez limca na test|Limec biely na test ;Limec biely na test EN|Limec čierny na test EN;0|20;none|white;standard|premium;
